,fold,model,DeepRank_GNN,nclash,fnat,fnonnat,lrmsd,irmsdbb,irmsdsc,distance,theta,seqid,classification,caseID,target,DeepRank,HADDOCK,iScore,ATOM20,ATOM40,GOAP,ATOM+GOAP,GNN_DOVE
99490,fold6,T29_1009_conv,0.2961567342281341,67/100,0.0408,0.9733,33.9546,7.7575,8.0707,31.9701,56.9008,90.9,incorrect,T29,0,2.9217739105224614,-30.93077000000001,0.214,0.0044,0.0023,0.2311,0.872,0.0601
99491,fold6,T29_100_conv,0.0109427208080887,181/100,0.0,1.0,63.654,17.2515,19.0519,58.6867,144.1828,90.9,"clashes,incorrect",T29,0,-159.78593826293942,2393.02116,3.762,0.0102,0.0394,0.0239,0.004,0.1656
99492,fold6,T29_1010_conv,0.0572595298290252,36/100,0.0612,0.9302,25.7698,10.276,10.9981,10.3925,129.3036,90.9,incorrect,T29,0,-0.5079476833343506,-66.6712,-0.517,0.5456,0.0747,0.0935,0.4991,0.1136
99493,fold6,T29_1011_conv,0.0084926951676607,13/100,0.0,1.0,88.0492,30.6531,31.5622,86.7192,78.5646,90.9,incorrect,T29,0,-0.7325576841831207,-105.69163,0.411,0.0006,0.0,0.2574,0.0049,0.0636
99494,fold6,T29_1012_conv,0.1606031358242035,63/100,0.0,1.0,47.1611,11.3554,11.6731,42.272,101.9069,90.9,incorrect,T29,0,1.4140566587448118,-42.11106,0.382,0.0,0.2665,0.2759,0.966,0.2561
99495,fold6,T29_1013_conv,0.2814253568649292,10/100,0.0,1.0,52.8958,22.3126,22.88,46.3021,135.7345,90.9,incorrect,T29,0,1.9170461893081665,-65.414349,0.171,0.042,0.2783,0.0599,0.6696,0.2077
99496,fold6,T29_1014_conv,0.0178028177469968,122/100,0.0,1.0,59.8195,17.2579,18.7222,56.6492,112.8542,90.8,"clashes,incorrect",T29,0,-657093.53125,10486.26888,14.415,0.0074,0.2438,0.0781,0.8431,0.0864
99497,fold6,T29_1015_conv,0.1562996655702591,11/100,0.0,1.0,24.9833,11.2018,12.0579,18.5904,104.8797,90.9,incorrect,T29,0,3.6947447061538696,-208.075,-0.464,0.196,0.0,0.3426,0.4095,0.2724
99498,fold6,T29_1016_conv,0.0181971620768308,136/100,0.0,1.0,73.5374,18.3847,19.2979,68.2797,178.9485,90.9,"clashes,incorrect",T29,0,4.14394748210907,-6.24407,-0.716,0.0095,0.0033,0.3596,0.1009999999999999,0.1279
99499,fold6,T29_1017_conv,0.0043457392603158,10/100,0.0,1.0,58.246,15.7945,17.0263,54.0023,114.53,90.9,incorrect,T29,0,-0.2385591268539429,-111.36271,-0.055,0.1454,0.5677,0.001,0.2072,0.1059
99500,fold6,T29_1018_conv,-0.0046712253242731,16/100,0.0,1.0,59.8436,16.2491,18.2105,54.6702,142.579,90.9,incorrect,T29,0,1.2458120584487915,-188.38419,-1.063,0.0609,0.0067,0.3455,0.7842,0.232
99501,fold6,T29_1019_conv,0.0147684263065457,24/100,0.0,1.0,66.6247,16.7761,18.0491,61.1342,177.8552,90.9,incorrect,T29,0,1.6446166038513184,-27.623990000000006,0.397,0.0037,0.0023,0.0697,0.0318,0.1068
99502,fold6,T29_101_conv,0.0157445818185806,10/100,0.0,1.0,26.8971,12.7145,13.4071,8.2818,168.6133,88.3,incorrect,T29,0,-0.554055243730545,-100.1522,-0.645,0.6157,0.055,0.1388,0.6689,0.065
99503,fold6,T29_1020_conv,0.0192787125706672,38/100,0.0,1.0,39.3505,17.4408,18.4401,28.848000000000003,158.2057,90.9,incorrect,T29,0,-0.4328115880489349,487.668407,1.045,0.0001,0.0005,0.4415,0.8712,0.1075
99504,fold6,T29_1022_conv,0.077467143535614,121/100,0.0,1.0,41.3596,9.9402,10.0684,37.8459,93.7168,90.9,"clashes,incorrect",T29,0,-90680.90234375,4152.2201,5.996,0.0114,0.0,0.446,0.1501,0.0428
99505,fold6,T29_1023_conv,0.0098460782319307,3/100,0.0,1.0,63.2182,22.3488,23.6654,61.9689,57.86,90.9,incorrect,T29,0,0.5669336318969727,-74.84170999999998,0.095,0.063,0.2368,0.0168,0.3461,0.1136
99506,fold6,T29_1024_conv,0.0159806795418262,10/100,0.0,1.0,42.7083,12.5457,13.3429,33.9942,151.3387,90.9,incorrect,T29,0,-4.805310010910034,-80.61511999999998,-0.495,0.0011,0.0005,0.3554,0.9016,0.1482
99507,fold6,T29_1025_conv,0.0212050918489694,39/100,0.0,1.0,29.8935,14.467,15.5931,15.1973,144.0767,90.9,incorrect,T29,0,1.373461127281189,-71.8403,0.018,0.0094,0.11,0.0085,0.267,0.0806
99508,fold6,T29_1026_conv,0.0118187069892883,9/100,0.0,1.0,66.977,22.0216,23.5507,61.6866,165.9834,90.9,incorrect,T29,0,-5.939030647277832,-32.09493,-0.361,0.0007,0.0,0.0552,0.098,0.1115
99509,fold6,T29_1027_conv,0.0180058572441339,169/100,0.0,1.0,70.9888,18.7352,20.0858,67.0312,175.1268,90.9,"clashes,incorrect",T29,0,-5.128282070159912,22.29889,1.426,0.0711,0.0,0.0013,0.0441,0.3669
99510,fold6,T29_1028_conv,0.2663724720478058,6/100,0.1282,0.9,14.5698,4.9942,5.5709,8.0837,56.429,87.8,incorrect,T29,0,1.0117787420749664,-114.9214,-0.607,0.032,0.0688,0.3665,0.135,0.0871
99511,fold6,T29_1029_conv,0.0089114401489496,2/100,0.0,1.0,78.7853,24.1368,25.3125,76.01100000000001,100.4547,88.3,incorrect,T29,0,-5.8710036277771,-41.6699,0.277,0.002,0.0003,0.0078,0.024,0.0951
99512,fold6,T29_102_conv,0.2268368154764175,6/100,0.4694,0.6618,5.775,2.2611,2.6506,2.0484,25.0041,90.9,acceptable,T29,1,2.709277868270874,-149.8226,-0.613,0.1602,0.0098,0.0146,0.3044,0.179
99513,fold6,T29_1030_conv,0.012493054382503,47/100,0.0,1.0,28.2435,13.9701,15.1919,8.1463,178.3285,90.9,incorrect,T29,0,3.2788202762603764,-35.525883,-0.59,0.188,0.0039,0.0186,0.3248,0.1216
99514,fold6,T29_1031_conv,-0.0142127908766269,5/100,0.0,1.0,56.2285,15.0642,16.629,49.2703,173.5875,88.3,incorrect,T29,0,-2.996727108955384,-79.91933,0.816,0.0223,0.0003,0.0207,0.1252,0.0927
99515,fold6,T29_1032_conv,0.0143914278596639,5/100,0.0,1.0,29.158,12.589,14.1593,14.725,177.5838,90.9,incorrect,T29,0,-0.0271273851394653,-96.04754,0.695,0.0007,0.1352,0.0332,0.0371,0.4711
99516,fold6,T29_1033_conv,0.0183299127966165,122/100,0.0,1.0,40.2375,13.0454,13.8457,33.9093,132.8763,90.9,"clashes,incorrect",T29,0,0.71283820271492,4.45589,2.215,0.0883,0.0177,0.0003,0.0243,0.3377
99517,fold6,T29_1034_conv,0.0781302079558372,64/100,0.5918,0.5672,7.261,2.1648,2.6043,5.2108,22.4883,90.9,acceptable,T29,1,2.352353096008301,-90.6658,-0.22,0.2188,0.0008,0.0419,0.0286,0.4358
99518,fold6,T29_1035_conv,0.0087768752127885,82/100,0.0,1.0,75.745,23.6682,24.8542,73.5679,90.2927,90.9,incorrect,T29,0,2.0938786268234253,-54.11863,1.263,0.5394,0.0151,0.0014,0.0173,0.2075
99519,fold6,T29_1036_conv,0.0065739210695028,50/100,0.0,1.0,57.9105,18.0815,20.0999,52.1656,134.2956,90.9,incorrect,T29,0,-7.068118572235107,-14.6853,-0.078,0.0017,0.0001,0.0038,0.0066,0.7494
99520,fold6,T29_1037_conv,0.3796221017837525,190/100,0.0612,0.9674,24.012,9.5855,10.3864,6.336,124.1753,90.9,"clashes,incorrect",T29,0,1.928494572639465,157.2555,-0.443,0.1124,0.0886,0.0174,0.0805,0.2352
99521,fold6,T29_1038_conv,0.0160145424306392,10/100,0.1224,0.8723,18.3107,6.3419,6.829,9.6876,69.6872,90.9,incorrect,T29,0,2.8116109371185303,-129.4056,-0.79,0.0185,0.0058,0.0272,0.5754,0.0754
99522,fold6,T29_1039_conv,0.0233976989984512,32/100,0.0,1.0,31.0496,9.2838,9.8746,29.7227,47.1212,90.9,incorrect,T29,0,-2.1357695758342743,-67.0197,0.109,0.0081,0.0357,0.0543,0.7247,0.4702
99523,fold6,T29_103_conv,-0.0063743032515048,76/100,0.0,1.0,62.2116,21.0456,23.1333,60.6338,65.5161,90.9,incorrect,T29,0,0.5565339624881744,66.04026999999999,-0.212,0.0002,0.0,0.181,0.0057,0.2051
99524,fold6,T29_1040_conv,0.464374452829361,31/100,0.0,1.0,41.7516,12.868,13.392,39.8955,53.834,90.9,incorrect,T29,0,1.0671270191669464,-64.86636,0.036,0.0016,0.0002,0.0093,0.3021,0.2676
99525,fold6,T29_1042_conv,0.016630046069622,10/100,0.1224,0.8605,18.4791,6.7813,7.1743,10.1937,68.7217,90.9,incorrect,T29,0,1.6590875387191772,-122.7202,-0.789,0.0361,0.0041,0.0994,0.6804,0.077
99526,fold6,T29_1043_conv,0.0082021281123161,35/100,0.0,1.0,82.2343,22.5148,23.0002,79.0264,176.8788,90.9,incorrect,T29,0,-2.06496000289917,-14.88186,0.63,0.0085,0.0684,0.0277,0.2253,0.1464
99527,fold6,T29_1044_conv,0.1294683516025543,106/100,0.0,1.0,55.72,19.9197,20.5997,49.7316,144.2518,90.8,"clashes,incorrect",T29,0,1.0567313730716703,-49.56594000000001,0.452,0.2464,0.0336,0.5792,0.8699,0.1621
99528,fold6,T29_1045_conv,0.0244705155491828,1/100,0.0,1.0,27.2605,11.6599,12.9796,5.837999999999999,175.9037,90.9,incorrect,T29,0,3.4182465076446533,-131.3865,-0.636,0.4121,0.0679,0.0021,0.0333,0.1783
99529,fold6,T29_1046_conv,0.1131921410560608,5/100,0.0,1.0,44.945,11.0882,11.6168,42.6913,76.825,90.9,incorrect,T29,0,-0.2205810844898224,-75.36538,0.607,0.0052,0.0063,0.3839,0.9561,0.1057
99530,fold6,T29_1047_conv,0.0556406788527965,39/100,0.551,0.4,3.9566,1.3423,1.9093,1.9956,14.0661,90.9,medium,T29,1,0.7600660622119904,-92.37038,-0.373,0.0378,0.0004,0.0017,0.2896,0.2177
99531,fold6,T29_1048_conv,0.2201246321201324,7/100,0.3673,0.6786,8.4755,2.9978,3.3921,5.182,31.6695,90.9,acceptable,T29,1,3.605026006698608,-147.6988,-0.78,0.0601,0.0459,0.0119,0.6532,0.469
99532,fold6,T29_1049_conv,0.0205592773854732,22/100,0.0,1.0,37.7335,18.3368,19.2726,26.8164,153.0784,90.9,incorrect,T29,0,1.362664371728897,-91.23358,-0.248,0.0472,0.0094,0.0391,0.6052,0.0965
99533,fold6,T29_104_conv,0.3913795053958893,69/100,0.1224,0.8983,14.5559,3.8129,4.1864,12.4396,32.0155,90.9,acceptable,T29,1,1.9936389923095703,-86.4538,-0.443,0.0743,0.0006,0.0032,0.5383,0.0844
99534,fold6,T29_1050_conv,0.0202371943742036,4/100,0.0408,0.9574,45.3605,11.0664,12.5896,38.9332,115.9036,90.9,incorrect,T29,0,-0.2740251719951629,-79.14681999999998,0.772,0.0329,0.0018,0.0095,0.0486,0.2011
99535,fold6,T29_1051_conv,0.0356511510908603,25/100,0.0612,0.9492,41.905,11.6384,12.744000000000002,34.2381,128.6428,90.9,incorrect,T29,0,2.5137664079666138,-68.51906,0.831,0.0145,0.0718,0.0018,0.0368,0.5458
99536,fold6,T29_1052_conv,0.4806755781173706,40/100,0.65,0.5185,5.145,1.6457,2.1032,4.2576,12.9388,94.5,medium,T29,1,2.389802575111389,-81.9029,-0.13,0.0627,0.0,0.0005,0.0125,0.4121
99537,fold6,T29_1053_conv,0.2503402829170227,18/100,0.0,1.0,63.1645,19.1721,20.254,59.9977,108.1823,90.9,incorrect,T29,0,3.3347094058990483,-168.91799,0.047,0.021,0.9084,0.3398,0.7739,0.1925
99538,fold6,T29_1054_conv,0.0106603810563683,11/100,0.0,1.0,50.8889,18.8002,19.473,43.2533,173.3848,90.9,incorrect,T29,0,-1.4728577136993408,-34.72803,1.16,0.0808,0.003,0.1648,0.9337,0.0997
99539,fold6,T29_1055_conv,0.0159101709723472,21/100,0.0,1.0,23.6653,9.8844,10.5826,11.7595,111.2438,88.3,incorrect,T29,0,-23.04232120513916,530.49494,0.7,0.2202,0.0416,0.1273,0.2931,0.1477
99540,fold6,T29_1057_conv,0.0120436605066061,4/100,0.025,0.9825,45.7568,9.4119,10.2977,40.039,110.2137,94.5,incorrect,T29,0,0.298326164484024,-80.2318,0.535,0.0518,0.0054,0.0032,0.1301,0.207
99541,fold6,T29_1058_conv,-4.406645894050598e-05,13/100,0.0,1.0,84.8644,25.1661,26.9255,82.125,102.8732,90.9,incorrect,T29,0,-2.1054188013076782,-88.09884,0.652,0.0622,0.0,0.1717,0.0091,0.1036
99542,fold6,T29_1059_conv,0.0259687807410955,34/100,0.0,1.0,36.2899,16.424,16.875,29.0548,151.2484,90.8,incorrect,T29,0,0.8575724363327026,-65.836952,0.048,0.1286,0.0238,0.4186,0.951,0.0652
99543,fold6,T29_105_conv,0.0130141731351614,101/100,0.0,1.0,58.5843,23.1972,24.9012,55.7526,86.0099,90.9,"clashes,incorrect",T29,0,3.10692298412323,-40.05026,1.212,0.0428,0.0021,0.1343,0.1912,0.1937
99544,fold6,T29_1060_conv,0.0396200753748416,23/100,0.0,1.0,30.8444,14.8037,16.2271,18.0148,160.5779,88.3,incorrect,T29,0,-2.599798142910004,415.041996,0.547,0.0518,0.0129,0.0,0.1398,0.087
99545,fold6,T29_1061_conv,0.0270679406821727,29/100,0.0,1.0,28.5771,14.1842,14.6257,12.0526,161.9972,88.3,incorrect,T29,0,-1199818642817024.0,4842.02976,6.836,0.0107,0.0004,0.0002,0.2834,0.0498
99546,fold6,T29_1062_conv,0.0421648919582366,4/100,0.0,1.0,27.4098,11.8819,13.2852,7.325,170.1097,90.9,incorrect,T29,0,3.686199903488159,-122.6078,-0.212,0.3167,0.0003,0.0161,0.0077,0.1497
99547,fold6,T29_1063_conv,0.016025710850954,10/100,0.449,0.6986,6.7843,2.5058,2.9163,3.2398,26.6507,90.9,acceptable,T29,1,3.490697145462036,-172.6508,-0.855,0.1581,0.0486,0.0042,0.4575,0.2473
99548,fold6,T29_1064_conv,0.0145521815866231,9/100,0.0,1.0,81.9549,28.1816,29.5085,79.6242,91.1947,90.9,incorrect,T29,0,-2.0587199926376343,-16.599,0.856,0.0402,0.0748,0.0467,0.071,0.4948
99549,fold6,T29_1065_conv,0.1036093235015869,32/100,0.0,1.0,27.3849,13.8019,14.576,13.4625,161.8838,88.3,incorrect,T29,0,26381.0322265625,2950.80577,4.107,0.0741,0.0025,0.4669,0.871,0.0713
99550,fold6,T29_1066_conv,0.0153095051646232,27/100,0.0,1.0,39.0268,12.1228,13.2724,28.4363,172.10299999999998,94.5,incorrect,T29,0,-0.2582792043685913,-14.7383,1.5590000000000002,0.0507,0.0072,0.0044,0.0279,0.1157
99551,fold6,T29_1067_conv,0.0074730608612298,7/100,0.1395,0.7391,19.2968,7.0045,7.9844,9.1698,80.2868,88.2,incorrect,T29,0,-1.9138517379760744,-43.93382,-0.025,0.3039,0.016,0.1489,0.5901,0.0956
99552,fold6,T29_1068_conv,0.0074950940907001,4/100,0.0,1.0,54.1502,15.269,15.6094,48.4769,139.6191,88.3,incorrect,T29,0,-3.36816954612732,-84.1899,0.618,0.0408,0.0085,0.0035,0.4027,0.0713
99553,fold6,T29_106_conv,0.0171320084482431,81/100,0.0,1.0,69.8195,20.1557,21.0621,64.5692,169.09799999999998,90.9,incorrect,T29,0,1.8548084795475008,-38.149298,0.442,0.0036,0.0066,0.0432,0.945,0.5783
99554,fold6,T29_1070_conv,0.0203177444636821,28/100,0.0,1.0,35.6567,15.6327,16.4803,22.8969,177.9112,88.3,incorrect,T29,0,33.9306640625,6450.329220000001,9.376,0.0654,0.0026,0.1175,0.0108,0.0697
99555,fold6,T29_1071_conv,0.0121696898713707,15/100,0.0,1.0,62.4443,21.0348,22.8269,57.4931,173.2478,90.9,incorrect,T29,0,1.4225299656391144,-151.31411,-0.8959999999999999,0.034,0.0005,0.7438,0.0439,0.2136
99556,fold6,T29_1072_conv,0.2979768514633179,64/100,0.0,1.0,31.4884,15.0753,16.201,17.6739,146.3752,90.9,incorrect,T29,0,2.037100315093994,-39.4026,-0.009,0.0798,0.075,0.0037,0.1119999999999999,0.0885
99557,fold6,T29_1073_conv,0.0362323820590972,130/100,0.0612,0.9647,21.6422,6.7176,7.1957,20.9434,29.5016,90.9,"clashes,incorrect",T29,0,20097.5546875,8133.254178,11.35,0.0282,0.1388,0.222,0.8263,0.2509
99558,fold6,T29_1074_conv,0.0064434297382831,6/100,0.0,1.0,65.9581,21.0995,22.3951,64.2304,66.414,88.3,incorrect,T29,0,-0.3336212337017059,-58.41906,-0.188,0.0053,0.0012,0.0294,0.0138,0.1081
99559,fold6,T29_1075_conv,0.0189014971256256,10/100,0.0,1.0,30.5136,10.8472,11.909,23.1689,112.0385,90.9,incorrect,T29,0,2.040027976036072,-71.80373,0.46,0.0378,0.0397,0.0424,0.5753,0.1361
99560,fold6,T29_1076_conv,0.0186603870242834,16/100,0.0,1.0,23.3801,13.0667,13.5182,9.2735,137.1082,88.3,incorrect,T29,0,161.7447967529297,1256.56136,1.61,0.0319,0.0,0.0914,0.4339,0.0531
99561,fold6,T29_1077_conv,0.0713290646672248,10/100,0.0,1.0,45.6512,18.5463,19.3246,36.4069,174.7928,90.9,incorrect,T29,0,2.1008602380752563,-79.00362,-0.634,0.1098,0.2456,0.7156,0.9406,0.0878
99562,fold6,T29_1078_conv,0.0124045424163341,50/100,0.075,0.9388,22.64,10.529000000000002,11.8537,6.5598,154.1255,94.5,incorrect,T29,0,1.6785238981246948,-62.57514000000001,-0.125,0.0205,0.0035,0.0123,0.2254,0.1877
99563,fold6,T29_1079_conv,0.2641235888004303,6/100,0.1282,0.902,13.9299,4.8097,5.3988,7.7779,53.3437,87.8,incorrect,T29,0,-0.3170385658740997,-119.6026,-0.5710000000000001,0.0945,0.0293,0.0005,0.0587,0.0868
99564,fold6,T29_107_conv,0.0098003568127751,7/100,0.0,1.0,81.658,29.2892,29.8296,80.3162,88.4979,88.3,incorrect,T29,0,0.1644765138626098,-57.2531,0.109,0.0226,0.0993,0.0156,0.0068,0.2078
99565,fold6,T29_1080_conv,0.1271873116493225,32/100,0.0,1.0,63.4123,26.0905,27.2804,59.5506,105.6357,90.9,incorrect,T29,0,2.428808212280273,-19.295511,4.54,0.0005,0.0047,0.1331,0.3679,0.1204
99566,fold6,T29_1081_conv,0.0174532253295183,14/100,0.0,1.0,83.2044,25.2396,26.3861,78.8196,168.49400000000003,90.9,incorrect,T29,0,2.0353561639785767,-162.76088,0.238,0.0916,0.0011,0.0888,0.057,0.6405
99567,fold6,T29_1082_conv,0.4710162878036499,8/100,0.7143,0.4262,4.0337,1.123,1.7665,3.3007,9.7711,90.9,medium,T29,1,1.126881629228592,-163.9079,-0.596,0.087,0.0014,0.0059,0.035,0.141
99568,fold6,T29_1083_conv,0.0474517606198787,232/100,0.0,1.0,25.8798,13.4631,13.9247,15.7141,137.6455,90.9,"clashes,incorrect",T29,0,-4.2517123222351065,239.39394,0.063,0.1219,0.0002,0.0474,0.5704,0.0916
99569,fold6,T29_1084_conv,0.0185256116092205,24/100,0.0,1.0,23.819000000000003,13.1128,13.9163,6.2339,114.1266,90.9,incorrect,T29,0,2.8232909440994263,-50.93716,-0.519,0.008,0.0281,0.0261,0.1239,0.0716
99570,fold6,T29_1085_conv,0.0210532303899526,9/100,0.0,1.0,62.405,22.1524,23.9025,60.6473,82.8388,90.9,incorrect,T29,0,2.909343719482422,-94.252595,1.48,0.0055,0.0059,0.0182,0.401,0.2368
99571,fold6,T29_1086_conv,0.0146564412862062,27/100,0.0,1.0,50.6436,17.9029,18.3712,47.3454,90.3777,90.9,incorrect,T29,0,2.6867552995681763,-30.952240000000003,0.408,0.0266,0.3499,0.0692,0.0458,0.0657
99572,fold6,T29_1087_conv,0.0279252454638481,19/100,0.0,1.0,28.7772,9.6289,10.459,22.2213,89.71,90.9,incorrect,T29,0,-0.4749554693698883,-57.4701,-0.264,0.0336,0.9723,0.0325,0.4438,0.1025
99573,fold6,T29_1088_conv,0.0128613105043768,145/100,0.0,1.0,73.4236,24.6362,25.4169,69.0149,157.4433,90.9,"clashes,incorrect",T29,0,2.0450197458267207,69.11711,-0.142,0.0039,0.0093,0.0553,0.3341,0.0625
99574,fold6,T29_1089_conv,0.0418658480048179,14/100,0.0,1.0,31.9731,14.4548,15.0732,30.0409,63.9704,90.9,incorrect,T29,0,2.1125359535217285,-175.62347,-0.449,0.0,0.8885,0.8186,0.9254,0.2292
99575,fold6,T29_108_conv,0.0416824966669082,83/100,0.0,1.0,51.4629,15.3396,16.0717,45.8478,165.9171,90.9,incorrect,T29,0,-0.7404436469078064,-57.21215,0.371,0.0002,0.0045,0.0591,0.5818,0.6184
99576,fold6,T29_1091_conv,0.017107855528593,76/100,0.0,1.0,58.8567,18.635,20.3558,54.9011,133.2652,90.9,incorrect,T29,0,8.15289306640625,2277.15272,4.912,0.0862,0.0002,0.0112,0.2206,0.2447
99577,fold6,T29_1092_conv,0.0724064111709594,148/100,0.0612,0.961,24.7491,10.1692,11.0158,5.7403,133.1528,90.9,"clashes,incorrect",T29,0,-0.0708353519439697,20.3492,-0.487,0.0766,0.2784,0.0468,0.2041,0.4799
99578,fold6,T29_1093_conv,0.2575268149375915,89/100,0.0,1.0,61.7105,24.3022,25.0253,58.9718,106.2872,90.9,incorrect,T29,0,2.8320082426071167,-9.49423,0.294,0.0241,0.0002,0.0428,0.7515,0.2308
99579,fold6,T29_1094_conv,0.0695872977375984,240/100,0.0,1.0,71.0588,19.4728,20.9282,68.3269,123.1569,90.9,"clashes,incorrect",T29,0,-4.063559055328368,644.2883,1.543,0.4307,0.0275,0.0016,0.108,0.6406
99580,fold6,T29_1095_conv,0.0826019942760467,7/100,0.0,1.0,29.4026,14.4512,15.582,15.3265,135.0846,94.5,incorrect,T29,0,3.160781025886536,-119.1951,-0.412,0.0319,0.0,0.1326,0.2965,0.1113
99581,fold6,T29_1096_conv,0.0135738756507635,3/100,0.0,1.0,83.5091,21.4565,21.9488,79.4,172.7649,90.7,incorrect,T29,0,-2.228662371635437,-40.48441,0.768,0.0314,0.0843,0.0891,0.1014,0.217
99582,fold6,T29_1097_conv,0.026138262823224,174/100,0.0,1.0,69.4249,18.9279,20.3851,66.9181,101.4912,90.9,"clashes,incorrect",T29,0,0.7924249172210693,83.63079,1.26,0.1008,0.065,0.1023,0.0042,0.4507
99583,fold6,T29_1098_conv,0.0163480415940284,5/100,0.0,1.0,47.9194,15.2468,15.9824,41.9581,164.1831,90.9,incorrect,T29,0,-5.007620811462402,-53.05598000000001,0.194,0.01,0.0019,0.0535,0.6876,0.0888
99584,fold6,T29_1099_conv,0.018615897744894,5/100,0.4286,0.6818,7.2242,2.5748,2.9598,4.0197,28.304,90.9,acceptable,T29,1,3.3594802618026733,-162.3718,-0.918,0.2906,0.0639,0.0002,0.3429,0.5974
99585,fold6,T29_1100_conv,0.4435649216175079,177/100,0.0,1.0,44.2101,18.7352,19.0538,37.2556,171.4678,90.9,"clashes,incorrect",T29,0,5.926770448684692,4881.05296,6.879,0.0402,0.009,0.218,0.7553,0.0737
99586,fold6,T29_1101_conv,0.0175321139395236,207/100,0.0,1.0,65.4991,17.0983,18.3841,62.0051,101.009,90.9,"clashes,incorrect",T29,0,9.325583338737488,167.1036,0.6559999999999999,0.2711,0.0021,0.0408,0.0004,0.6595
99587,fold6,T29_1102_conv,0.0115347970277071,13/100,0.0,1.0,62.6367,15.2117,16.5051,57.3181,166.4984,90.9,incorrect,T29,0,-1.1901623606681824,-80.0493,-0.478,0.0044,0.0001,0.3189,0.0433,0.1206
99588,fold6,T29_1103_conv,0.3281432688236237,67/100,0.0408,0.9733,33.9546,7.7575,8.0707,31.9701,56.9008,90.9,incorrect,T29,0,3.95230770111084,-27.32208,0.233,0.0092,0.0047,0.2303,0.9003,0.0658
99589,fold6,T29_1104_conv,0.0038331411778926,5/100,0.0,1.0,57.896,17.0454,18.332,56.2191,80.5561,90.9,incorrect,T29,0,-3.384913682937622,-100.69234,-0.581,0.0022,0.0036,0.0235,0.7875,0.166
99590,fold6,T29_1105_conv,0.0220483280718326,37/100,0.05,0.9375,28.6332,11.0091,12.6351,14.3252,152.4617,94.5,incorrect,T29,0,-3.2041478157043457,-48.66312,2.146,0.0896,0.001,0.0149,0.0348,0.0998
99591,fold6,T29_1106_conv,0.0034046843647956,28/100,0.0,1.0,63.2787,21.4474,23.0598,58.2887,171.6292,90.9,incorrect,T29,0,-2.0870218276977544,-36.12195,-0.448,0.0018,0.0002,0.3087,0.1123,0.6512
99592,fold6,T29_1107_conv,0.0102705815806984,47/100,0.0,1.0,27.6679,12.4661,14.2037,15.8816,179.8468,90.9,incorrect,T29,0,1.3035026490688324,-36.9526,-0.297,0.1126,0.055,0.0137,0.4563,0.0809
